AGP,Malaga
PDX,Portland Intl
SIN,Changi
HEL,Vantaa
GCM,Roberts Intl
BUF,Buffalo Niagara Intl
MXP,Malpensa
LYH,Lynchburg Regl-glenn
LIS,Lisbon
KOA,Kona Intl At Keahole
DUS,Dusseldorf
DAY,Cox-dayton Intl
MGM,Montgomery Regl
GYD,Heydar Aliyev Intl
AMM,Queen Alia Intl
BAH,Bahrain Intl
ROW,Roswell Intl Air Center
RSW,Southwest Florida Intl
DPS,Ngurah Rai Intl
FAT,Fresno Yosemite Intl
PGD,Charlotte Co
CHA,Lovell
OAX,Xoxocotlan Intl
SAN,San Diego Intl
MHT,Manchester
SCL,Arturo Merino Benitez Intl
BTV,Burlington Intl
ARN,Arlanda
LGB,Long Beach/daugherty Field
PIA,Greater Peoria Regl
ANU,V C Bird Intl
ELD,South Arkansas Regl At Goodwin
CEZ,Cortez Mun
SLU,George F. Charles
AUA,Reina Beatrix Intl
RUH,King Khaled Intl
CEC,Unknown airport with code DSS
SMF,Sacramento Intl
ILM,Wilmington Intl
ANC,Stevens Anchorage Intl
KIN,Norman Manley Intl
AVL,Asheville Regl
BHM,Birmingham-shuttlesworth Intl
CTS,New Chitose
OKC,Will Rogers World
YQG,Windsor
EYP,El Yopal
HOT,Memorial
BJX,De Guanajuato Intl
PBC,Hermanos Serdan Intl
HND,Tokyo (haneda) Intl
YYC,Calgary Intl
DWC,Al Maktoum Intl
SBP,San Luis Obispo Co Regl
SCE,University Park
HSV,Huntsville Intl-jones
LAD,4th Of February
VIE,Schwechat
SJO,Juan Santamaria Intl
YEG,Edmonton Intl
LEB,Lebanon Mun
BOI,Boise Air Terminal/gowen
KIX,Kansai Intl
LIH,Lihue
PVC,Provincetown
SBA,Santa Barbara Mun
SKB,Bradshaw Intl
FPO,Grand Bahama Intl
AOO,Altoona-blair Co
HNL,Honolulu Intl
PDT,Eastern Oreg Regl At Pendleton
XNA,Northwest Arkansas Regl
LBB,Lubbock Preston Smith Intl
FSP,Unknown airport with code DSS
GVA,Geneva
GUA,La Aurora Intl
VVI,Viru Viru Intl
DUT,Emergency Field
TUL,Tulsa Intl
BAQ,Ernesto Cortissoz
RUT,Rutland - Southern Vermont Reg
SLK,Adirondack Regl
HYA,Barnstable Mun-boardman/poland
SAT,San Antonio Intl
ABV,Nnamdi Azikiwe Intl
AUG,Augusta State
STI,Cibao Intl
VPS,Eglin Afb
UVF,Hewanorra Intl
RNO,Reno/tahoe Intl
PBG,International
MHH,Marsh Harbour Intl
BMI,Central Ill Regl At Bloomingto
MGW,Morgantown Mun-hart
PTY,Tocumen Intl
HTS,Tri-state/ferguson
PUJ,Punta Cana Intl
TGZ,Angel Albino Corzo
EWN,Coastal Carolina Regl
SJT,San Angelo Regl/mathis
DME,Domodedovo
TIJ,Gen Abelardo L Rodriguez Intl
MVD,Carrasco Intl/gen C L Berisso
YQR,Regina Intl
BFD,Bradford Regl
UIO,Mariscal Sucre Intl
STX,Henry E Rohlsen
LHR,Heathrow
GRK,Gray Aaf
MFE,Mc Allen Miller Intl
TUP,Tupelo Regl
JED,King Abdulaziz Intl
MDE,Jose Maria Cordova
MSL,Northwest Alabama Regl
GGT,Exuma Intl
CHO,Charlottesville-albemarle
CRW,Yeager
OGS,Ogdensburg Intl
YYG,Charlottetown
YVR,Vancouver Intl
COS,City Of Colorado Springs Mun
GNV,Gainesville Regl
BGI,Grantley Adams Intl
MBJ,Sangster Intl
PHF,Newport News/williamsburg Intl
TXL,Tegel
RKD,Knox Co Regl
DSM,Des Moines Intl
SXM,Princess Juliana Intl
BON,Flamingo
GSP,Greenville-spartanburg Intl-ro
BDA,L F Wade Intl
ART,Watertown Intl
SSA,Dep. L. E. Magalhaes Intl
EVV,Evansville Regl
YUM,International
TRI,Tri-cities Regl Tn/va
HHH,Hilton Head
TUS,Tucson Intl
SBY,Salisbury-ocean City Wicomico
TYR,Tyler Pounds Rgnl
YYJ,Victoria Intl
YYT,St John's Intl
SAF,Santa Fe Mun
CID,The Eastern Iowa Airport
CLO,Alfonso Bonilla Aragon Intl
HVN,Tweed-new Haven
STS,Charles M Schulz - Sonoma Co
ONT,Ontario Intl
DXB,Dubai Intl
IRK,Kirksville Regl
LIR,Daniel Oduber Quiros Intl
LMM,Valle Del Fuerte International
MWA,Williamson Co Regl
VCP,Viracopos Intl
OSL,Gardermoen
NVA,Benito Salas
YLW,Kelowna
ABQ,Albuquerque Intl Sunport
HMO,Gen Ignacio Pesqueira Garcia
IGU,Cataratas Intl
MID,Lic Manuel Crescencio Rejon In
BIL,Billings Logan Intl
AZA,Phoenix-mesa Gateway
GPT,Gulfport-biloxi Intl
NGO,Chubu Centrair International
MLI,Quad-city Intl.
MAF,Midland Intl
COR,Ing Aer A L V Taravella
TAM,Gen Francisco Javier Mina Intl
FSM,Ft Smith Regl
DEC,Decatur
CMI,Univ Of Illinois-willard
SHV,Shreveport Regl
DRO,Durango-la Plata Co
ICT,Wichita Mid-continent
AMA,Rick Husband Amarillo Intl
COU,Columbia Regl
HAV,Jose Marti Intl
TRC,Torreon Intl
ASE,Aspen-pitkin Co/sardy
MHK,Manhattan Regl
ELP,El Paso Intl
PWM,Portland Intl
SLP,Ponciano Arriaga Intl
FAR,Hector Intl
LRM,Casa De Campo Intl
OMA,Eppley
BQN,Rafael Hernandez
ITO,Hilo Intl
FLG,Flagstaff Pulliam
BOM,Chhatrapati Shivaji Intl
YHZ,Stanfield Intl
BFL,Meadows
GUM,Guam Intl
TOL,Toledo Express
ABI,Abilene Regl
MOB,Mobile Regl
CMN,Mohammed V Intl
AKL,Auckland Intl
PPT,Faaa
KWI,Kuwait Intl
CIU,Chippewa Co Intl
LFT,Lafayette Regional
PDL,Joao Paulo Ii
LPB,El Alto Intl
ITH,Ithaca Tompkins Regl
YQQ,Comox
SYR,Syracuse Hancock Intl
BZN,Gallatin
SYD,Kingsford Smith Intl
FOR,Pinto Martins Intl
LYS,Saint Exupery
YHM,Hamilton
CKB,North Central West Virginia
FNT,Bishop Intl
ORH,Worcester Regl
DRT,Del Rio Intl
MGA,Augusto Cesar Sandino Intl
HIB,Chisholm-hibbing
SWO,Unknown airport with code DSS
JLN,Joplin Regl
TLH,Tallahassee Regl
BPT,Southeast Texas Regional
LAN,Capital City
GRI,Central Nebraska Regl
LCH,Lake Charles Regl
MLU,Monroe Regl
LRD,Laredo Intl
CUL,Culiacan Intl
YDF,Deer Lake
GCK,Garden City Regl
POA,Salgado Filho Intl
LAW,Lawton-ft Sill Regl
GEG,Spokane Intl
WAW,Okecie
MSO,Missoula Intl
POB,Unknown airport with code DSS
DAB,Daytona Beach Intl
FCA,Glacier Park Intl
RZE,Jasionka
GYE,Jose Joaquin De Olmedo Intl
MEL,Melbourne Intl
KBP,Boryspil'
SGU,St George Mun
RDM,Roberts
ATH,Eleftherios Venizelos Intl
ABJ,Felix Houphouet-boigny
LFW,Tokoin
TPE,Taiwan Taoyuan Intl
ICN,Incheon Intl
NAN,Nadi Intl
YXX,Abbotsford
MLM,Gen Francisco J Mujica Intl
CTU,Shuangliu
MNL,Ninoy Aquino Intl
BIF,Unknown airport with code DSS
PLS,Providenciales Intl
TGU,Toncontin Intl
CTG,Rafael Nunez
BZE,Philip S W Goldson Intl
HDN,Yampa Valley
CZM,Cozumel Intl
PAP,Toussaint Louverture Intl
VQQ,Unknown airport with code DSS
PTK,Oakland Co Intl
AGS,Augusta Regl At Bush
MDZ,El Plumerillo
LBA,Leeds Bradford
BKW,Raleigh Co Meml
CUR,Willemstad/hato Intl.
NDR,El Aroui Intl
DZA,Unknown airport with code DSS
SID,Amilcar Cabral
XIY,Xianyang
ALG,Houari Boumediene
FLN,Hercilio Luz Intl
WUH,Tianhe
SNU,Abel Santamaria
FLR,Peretola
ABZ,Dyce
LTO,Loreto Intl
GOT,Landvetter
SLA,Gen Martin M de Guemes
FLO,Florence Regl
MFR,Rogue Valley Intl-medford
PGV,Pitt-greenville
CWA,Central Wisconsin
YXU,London
BHB,Hancock Co-bar Harbor
VRA,Juan G. Gomez Intl
STC,Unknown airport with code DSS
CMW,Ignacio Agramonte Intl
SHJ,Unknown airport with code DSS
